start_station_id,start_station_name,Outflow,Inflow,Net_Balance,Total_Volume
3211.06,53 St & 2 Ave,3638.0,3783,-145.0,7421.0
3214.04,Tilden Ave & Lott St,2490.0,2523,-33.0,5013.0
3220.01,58 St & Pier 4,3816.0,3845,-29.0,7661.0
3223.07,Ocean Ave & Tennis Ct,4416.0,4539,-123.0,8955.0
3229.07,E 48 St & Tilden Ave,592.0,723,-131.0,1315.0
3230.01,Caton Ave & E 10 St,7500.0,7821,-321.0,15321.0
3233.02,5 Ave & 44 St,4554.0,4593,-39.0,9147.0
3240.15,Fort Hamilton Pkwy & E 5 St,11025.0,10942,83.0,21967.0
3243.02,47 St & 3 Ave,1771.0,1791,-20.0,3562.0
3246.06,New York Ave & Snyder Ave,1220.0,1413,-193.0,2633.0
3253.01,52 St & 1 Ave,1862.0,1917,-55.0,3779.0
3256.04,Bedford Ave & Albemarle Rd,3291.0,3406,-115.0,6697.0
3263.01,E 18 St & Church Ave,8351.0,8648,-297.0,16999.0
3266.01,7 Ave & 40 St,4858.0,4563,295.0,9421.0
3272.01,E 8 St & Caton Ave,5744.0,6116,-372.0,11860.0
3275.03,45 St & 4 Ave,7044.0,7020,24.0,14064.0
3278.07,Brooklyn Ave & Snyder Ave,1182.0,1336,-154.0,2518.0
3280.04,Fort Hamilton Pkwy & E 2 St,9159.0,9368,-209.0,18527.0
3283.05,48 St & 2 Ave,773.0,809,-36.0,1582.0
3286.07,Rogers Ave & Snyder Ave,2697.0,2798,-101.0,5495.0
3294.03,E 21 St & Church Ave,8151.0,8329,-178.0,16480.0
3300.04,E 49 St & Church Ave,1901.0,2047,-146.0,3948.0
3300.06,Snyder Ave & Schenectady Ave,721.0,780,-59.0,1501.0
3303.03,Caton Ave & Argyle Rd,7205.0,7306,-101.0,14511.0
3306.03,5 Ave & 41 St,8997.0,8913,84.0,17910.0
3309.04,Church Ave & E 42 St,1216.0,1371,-155.0,2587.0
3312.07,Prospect Ave & Greenwood Ave,7773.0,7825,-52.0,15598.0
3315.05,44 St & 3 Ave,1496.0,1530,-34.0,3026.0
3318.05,E 34 St & Church Ave,1593.0,1651,-58.0,3244.0
3327.01,Lott St & Erasmus St,1749.0,1858,-109.0,3607.0
3335.09,Caton Ave & St. Pauls Pl,7270.0,7332,-62.0,14602.0
3341.06,Church Ave & E 45 St,1189.0,1357,-168.0,2546.0
3344.02,Park Circle & East Dr,24709.0,25231,-522.0,49940.0
3347.03,41 St & 4 Ave,5986.0,6042,-56.0,12028.0
3350.04,E 38 St & Church Ave,1565.0,1559,6.0,3124.0
3353.04,Greenwood Ave & E 4 St,6637.0,6700,-63.0,13337.0
3356.05,44 St & 2 Ave,1388.0,1451,-63.0,2839.0
3359.01,Church Ave & Nostrand Ave,4449.0,4664,-215.0,9113.0
3359.03,Linden Blvd & Nostrand Ave,4938.0,5033,-95.0,9971.0
3368.04,Caton Ave & Bedford Ave,14012.0,14034,-22.0,28046.0
3373.01,E 51 St & Linden Blvd,1521.0,1653,-132.0,3174.0
3376.02,Parade Pl & Crooke Ave,11751.0,11862,-111.0,23613.0
3376.04,Parkside Ave & Parade Pl,9661.0,9924,-263.0,19585.0
3379.03,5 Ave & 37 St,5607.0,5822,-215.0,11429.0
3382.04,Troy Ave & Linden Blvd,1527.0,1639,-112.0,3166.0
3385.06,Prospect Park SW & Greenwood Ave,13814.0,13812,2.0,27626.0
3388.02,41 St & 3 Ave,1411.0,1436,-25.0,2847.0
3388.03,40 St & 3 Ave,1255.0,1429,-174.0,2684.0
3391.1,E 34 St & Linden Blvd,42.0,693,-651.0,735.0
3391.10,E 34 St & Linden Blvd,1780.0,1214,566.0,2994.0
3394.03,McDonald Ave & Vanderbilt St,4126.0,4125,1.0,8251.0
3400.04,Rogers Ave & Lenox Rd,7356.0,7407,-51.0,14763.0
3408.05,Ocean Ave & Crooke Ave,8407.0,8463,-56.0,16870.0
3420.01,36 St & 4 Ave,14777.0,14930,-153.0,29707.0
3423.1,Clarkson Ave & E 40 St,48.0,716,-668.0,764.0
3423.10,Clarkson Ave & E 40 St,2239.0,1927,312.0,4166.0
3426.02,Prospect Ave & Vanderbilt St,6364.0,6462,-98.0,12826.0
3428.02,42 St & 1 Ave,1549.0,1603,-54.0,3152.0
3431.02,New York Ave & Lenox Rd,8207.0,8251,-44.0,16458.0
3439.03,Bedford Ave & Clarkson Ave,10663.0,10816,-153.0,21479.0
3448.02,Parkside Ave & Ocean Ave,34179.0,34532,-353.0,68711.0
3451.01,34 St & 5 Ave,2382.0,2452,-70.0,4834.0
3454.01,Clarkson Ave & Troy Ave,2003.0,2052,-49.0,4055.0
3457.03,Prospect Park SW & Vanderbilt St,15278.0,15333,-55.0,30611.0
3460.01,2 Ave & 36 St,4241.0,4693,-452.0,8934.0
3460.02,36 St & 3 Ave,10597.0,10846,-249.0,21443.0
3460.06,2 Ave & 37 St,1592.0,1908,-316.0,3500.0
3463.01,Clarkson Ave & E 37 St,5623.0,5725,-102.0,11348.0
3472.03,Clarkson Ave & Nostrand Ave,7414.0,7591,-177.0,15005.0
3480.04,Parkside Ave & Flatbush Ave,11888.0,11945,-57.0,23833.0
3486.02,Clarkson Ave & Utica Ave,2306.0,2368,-62.0,4674.0
3492.04,34 St & 4 Ave,3237.0,3301,-64.0,6538.0
3495.08,Lenox Rd & E 43 St,1967.0,2124,-157.0,4091.0
3498.09,Prospect Park SW & 16 St,16466.0,16424,42.0,32890.0
3501.01,39 St & 2 Ave,982.0,1072,-90.0,2054.0
3504.02,New York Ave & Hawthorne St,3948.0,4018,-70.0,7966.0
3507.04,Prospect Park W & 20 St,8703.0,7941,762.0,16644.0
3512.03,Winthrop St & Rogers Ave,7453.0,7492,-39.0,14945.0
3515.01,7 Ave & 22 St,6870.0,6793,77.0,13663.0
3520.01,Flatbush Ave & Fenimore St,9019.0,9124,-105.0,18143.0
3523.06,29 St & 5 Ave,4503.0,4553,-50.0,9056.0
3526.04,Winthrop St & Schenectady Ave,1291.0,1361,-70.0,2652.0
3532.02,2 Ave & 32 St,2136.0,2212,-76.0,4348.0
3535.03,Winthrop St & Albany Ave,2610.0,2725,-115.0,5335.0
3538.09,11 Ave & Prospect Ave,16150.0,16203,-53.0,32353.0
3544.02,Winthrop St & Nostrand Ave,6631.0,6786,-155.0,13417.0
3547.04,19 St & 8 Ave,3630.0,2880,750.0,6510.0
3552.09,Bedford Ave & Fenimore St,8638.0,8693,-55.0,17331.0
3555.04,24 St & 5 Ave,8302.0,8353,-51.0,16655.0
3564.04,30 St & 4 Ave,6212.0,6291,-79.0,12503.0
3567.05,Rutland Rd & E 45 St,1841.0,1977,-136.0,3818.0
3576.1,Rutland Rd & Brooklyn Ave,3924.0,4095,-171.0,8019.0
3579.04,Windsor Pl & Howard Pl,22663.0,22543,120.0,45206.0
3585.06,Nostrand Ave & Rutland Rd,7866.0,7947,-81.0,15813.0
3588.01,7 Ave & 20 St,9774.0,9747,27.0,19521.0
3593.01,Maple St & Flatbush Ave,10156.0,10107,49.0,20263.0
3593.1,Flatbush Ave & Lincoln Rd,19724.0,20116,-392.0,39840.0
3596.04,4 Ave & 26 St,7214.0,7490,-276.0,14704.0
3599.01,Midwood St & Utica Ave,79.0,79,0.0,158.0
3608.06,Maple St & Albany Ave,5322.0,5374,-52.0,10696.0
3611.02,Prospect Park SW & 10 Ave,15962.0,15770,192.0,31732.0
3617.02,Maple St & New York Ave,7370.0,7522,-152.0,14892.0
3620.02,Windsor Pl & 8 Ave,10937.0,10851,86.0,21788.0
3625.04,Bedford Ave & Maple St,7440.0,7518,-78.0,14958.0
3625.07,Rogers Ave & Lincoln Rd,12139.0,12196,-57.0,24335.0
3628.11,6 Ave & 21 St,20686.0,20707,-21.0,41393.0
3633.08,Lincoln Rd & Ocean Ave,30874.0,31032,-158.0,61906.0
3639.04,Schenectady Ave & Maple St,2137.0,2185,-48.0,4322.0
3648.08,Kingston Ave & E New York Ave,7969.0,8032,-63.0,16001.0
3651.04,West Drive & Prospect Park West,66731.0,66587,144.0,133318.0
3657.06,Sterling St & Nostrand Ave,16596.0,16713,-117.0,33309.0
3660.07,7 Ave & 17 St,13166.0,13224,-58.0,26390.0
3665.06,Sterling St & Bedford Ave,7347.0,7371,-24.0,14718.0
3668.04,21 St & 4 Ave,11542.0,11632,-90.0,23174.0
3671.01,E New York Ave & Utica Ave,2212.0,2245,-33.0,4457.0
3680.04,E New York Ave & Troy Ave,3358.0,3404,-46.0,6762.0
3688.06,Brooklyn Ave & Lefferts Ave,7556.0,7616,-60.0,15172.0
3696.05,Rogers Ave & Sterling St,8724.0,8786,-62.0,17510.0
3699.07,17 St & 5 Ave,20960.0,21057,-97.0,42017.0
3704.01,Washington Ave & Empire Blvd,9860.0,9884,-24.0,19744.0
3704.04,Flatbush Ave & Ocean Ave,19705.0,19863,-158.0,39568.0
3707.01,23 St & 3 Ave,2117.0,2233,-116.0,4350.0
3710.07,Lefferts Ave & Schenectady Ave,7155.0,7237,-82.0,14392.0
3719.02,Lefferts Ave & Albany Ave,6996.0,7018,-22.0,14014.0
3722.04,Prospect Park West & 8 St,38369.0,37870,499.0,76239.0
3728.04,Empire Blvd & New York Ave,3692.0,3709,-17.0,7401.0
3728.05,New York Ave & Montgomery St,4545.0,4562,-17.0,9107.0
3731.11,14 St & 7 Ave,31856.0,31792,64.0,63648.0
3736.03,Bedford Ave & Montgomery St,7617.0,7548,69.0,15165.0
3739.06,4 Ave & 17 St,7838.0,7990,-152.0,15828.0
3742.11,Carroll St & Rochester Ave,4563.0,4612,-49.0,9175.0
3751.05,Crown St & Troy Ave,8118.0,7976,142.0,16094.0
3759.07,Kingston Ave & Montgomery St,9849.0,9996,-147.0,19845.0
3762.08,10 St & 7 Ave,39753.0,39793,-40.0,79546.0
3768.02,Crown St & Rogers Ave,9726.0,9658,68.0,19384.0
3771.06,14 St & 5 Ave,30829.0,31006,-177.0,61835.0
3776.05,Montgomery St & Franklin Ave,9362.0,9392,-30.0,18754.0
3776.1,McKeever Pl & Sullivan Pl,108.0,1295,-1187.0,1403.0
3776.10,McKeever Pl & Sullivan Pl,4072.0,2870,1202.0,6942.0
3779.02,3 Ave & 17 St,2874.0,2920,-46.0,5794.0
3782.03,Carroll St & Utica Ave,5241.0,5107,134.0,10348.0
3791.02,Albany Ave & Carroll St,8892.0,8613,279.0,17505.0
3803.05,6 Ave & 12 St,21171.0,21382,-211.0,42553.0
3803.09,6 Ave & 9 St,41709.0,41897,-188.0,83606.0
3811.05,16 St & 4 Ave,10135.0,10496,-361.0,20631.0
3814.01,Buffalo Ave & E New York Ave,5210.0,5287,-77.0,10497.0
3822.08,Schenectady Ave & President St,7957.0,7364,593.0,15321.0
3831.03,Kingston Ave & Carroll St,12319.0,12053,266.0,24372.0
3834.1,6 St & 7 Ave,778.0,10402,-9624.0,11180.0
3834.10,6 St & 7 Ave,30859.0,21560,9299.0,52419.0
3839.02,President St & Nostrand Ave,13543.0,11756,1787.0,25299.0
3842.08,10 St & 5 Ave,21294.0,21385,-91.0,42679.0
3845.05,Eastern Pkwy & Ralph Ave,2168.0,2161,7.0,4329.0
3847.04,Carroll St & Franklin Ave,9580.0,9602,-22.0,19182.0
3850.03,3 Ave & 14 St,10272.0,10486,-214.0,20758.0
3853.02,Eastern Pkwy & Rochester Ave,6068.0,5788,280.0,11856.0
3856.03,Flatbush Ave & Eastern Pkwy,6183.0,5257,926.0,11440.0
3862.07,Eastern Pkwy & Troy Ave,10231.0,8185,2046.0,18416.0
3865.05,3 St & Prospect Park West,46523.0,45856,667.0,92379.0
3871.02,Eastern Pkwy & Brooklyn Ave,13289.0,13196,93.0,26485.0
3874.01,5 St & 6 Ave,17602.0,17660,-58.0,35262.0
3877.04,Pitkin Ave & Grafton St,3105.0,3114,-9.0,6219.0
3879.04,Union St & Bedford Ave,21675.0,21530,145.0,43205.0
3882.01,12 St & 4 Ave,13546.0,13609,-63.0,27155.0
3885.06,Buffalo Ave & St John's Pl,2582.0,2348,234.0,4930.0
3887.03,Carroll St & Washington Ave,10969.0,10846,123.0,21815.0
3893.03,Eastern Pkwy & Schenectady Ave,10842.0,10654,188.0,21496.0
3902.06,Eastern Pkwy & Kingston Ave,34486.0,31766,2720.0,66252.0
3905.15,3 St & 7 Ave,43903.0,43733,170.0,87636.0
3911.05,Eastern Pkwy & Nostrand Ave,13152.0,11454,1698.0,24606.0
3914.02,7 St & 5 Ave,22024.0,22087,-63.0,44111.0
3917.03,St Johns Pl & Howard Ave,2105.0,2127,-22.0,4232.0
3919.07,Eastern Pkwy & Franklin Ave (NE Corner),38423.0,35390,3033.0,73813.0
3919.12,Eastern Pkwy & Franklin Ave (SW Corner),17468.0,16870,598.0,34338.0
3922.02,10 St & 2 Ave,12317.0,12401,-84.0,24718.0
3925.03,Sterling Pl & Rochester Ave,2917.0,2478,439.0,5395.0
3928.08,Eastern Pkwy & Washington Ave,26101.0,22661,3440.0,48762.0
3931.09,Bay St & Court St,3832.0,4401,-569.0,8233.0
3934.06,Sterling Pl & Schenectady Ave,4214.0,3738,476.0,7952.0
3934.07,Troy Ave & Park Pl,6526.0,5846,680.0,12372.0
3940.04,Sigourney St & Columbia St,8179.0,8813,-634.0,16992.0
3943.03,St Johns Pl & Kingston Ave,12109.0,11656,453.0,23765.0
3946.07,1 St & 6 Ave,20061.0,19976,85.0,40037.0
3950.03,Park Pl & Thomas S. Boyland St,3257.0,3211,46.0,6468.0
3952.07,Lincoln Pl & Nostrand Ave,17535.0,15810,1725.0,33345.0
3955.05,4 Ave & 9 St,24357.0,24822,-465.0,49179.0
3958.02,Sterling Pl & Ralph Ave,2400.0,2368,32.0,4768.0
3960.01,Lincoln Pl & Classon Ave,19132.0,18165,967.0,37297.0
3966.01,St Johns Pl & Utica Ave,8378.0,7911,467.0,16289.0
3966.03,Park Pl & Utica Ave,4768.0,4636,132.0,9404.0
3972.08,Henry St & Bay St,5910.0,6226,-316.0,12136.0
3975.02,Albany Ave & Park Pl,7493.0,6995,498.0,14488.0
3978.13,Garfield Pl & 8 Ave,32930.0,32912,18.0,65842.0
3981.1,Dwight St & Van Dyke St,121.0,22,99.0,143.0
3981.10,Dwight St & Van Dyke St,5278.0,6135,-857.0,11413.0
3982.01,Eastern Pkwy & St Marks Ave,2207.0,2248,-41.0,4455.0
3984.02,Sterling Pl & New York Ave,20270.0,17632,2638.0,37902.0
3987.06,5 Ave & 3 St,36828.0,37038,-210.0,73866.0
3991.04,Prospect Pl & Howard Ave,2043.0,1886,157.0,3929.0
3993.03,Sterling Pl & Bedford Ave,23974.0,23147,827.0,47121.0
3996.01,7 St & 3 Ave,17873.0,18076,-203.0,35949.0
3999.06,Park Pl & Buffalo Ave,3035.0,2881,154.0,5916.0
4001.09,St Johns Pl & Washington Ave,27491.0,26859,632.0,54350.0
4007.01,Schenectady Ave & Prospect Pl,6750.0,6478,272.0,13228.0
4010.01,Plaza St East & Flatbush Ave,51638.0,47795,3843.0,99433.0
4010.13,Plaza St West & Flatbush Ave,45114.0,44468,646.0,89582.0
4010.15,Grand Army Plaza & Plaza St West,40109.0,40460,-351.0,80569.0
4013.08,Columbia St & Lorraine St,4124.0,5706,-1582.0,9830.0
4014.01,Pacific St & Sackman St,1039.0,1052,-13.0,2091.0
4016.03,Kingston Ave & Park Pl,12460.0,11881,579.0,24341.0
4019.06,Carroll St & 6 Ave,30390.0,30639,-249.0,61029.0
4023.01,St Marks Ave & Thomas S. Boyland St,1276.0,1193,83.0,2469.0
4023.05,Pacific St & Thomas S. Boyland St,1771.0,1496,275.0,3267.0
4025.02,Prospect Pl & Nostrand Ave,20320.0,19626,694.0,39946.0
4028.03,3 St & 3 Ave,20099.0,21024,-925.0,41123.0
4028.04,4 Ave & 3 St,23321.0,23500,-179.0,46821.0
4031.05,St Marks Ave & Ralph Ave,2544.0,2251,293.0,4795.0
4033.16,Sterling Pl & Franklin Ave,33507.0,33487,20.0,66994.0
4033.18,Sterling Pl & Classon Ave,17957.0,16352,1605.0,34309.0
4039.04,St Marks Ave & Rochester Ave,3992.0,3917,75.0,7909.0
4042.08,Underhill Ave & Lincoln Pl,31372.0,31275,97.0,62647.0
4045.01,Clinton St & Centre St,5600.0,5856,-256.0,11456.0
4048.03,Bergen St & Troy Ave,4315.0,3868,447.0,8183.0
4051.01,Berkeley Pl & 7 Ave,62437.0,62628,-191.0,125065.0
4054.06,Dwight St & Dikeman St,4108.0,4847,-739.0,8955.0
4055.04,Bergen St & Mother Gaston Blvd,1562.0,1531,31.0,3093.0
4057.04,Brooklyn Ave & Prospect Pl,13394.0,12401,993.0,25795.0
4060.09,Carroll St & 5 Ave,32214.0,32410,-196.0,64624.0
4064.03,Bergen St & Saratoga Ave,2312.0,2263,49.0,4575.0
4066.15,Bedford Ave & Bergen St,25172.0,24859,313.0,50031.0
4072.02,Bergen St & Buffalo Ave,3519.0,3170,349.0,6689.0
4074.14,Classon Ave & St Marks Ave,29291.0,29025,266.0,58316.0
4077.04,Smith St & 9 St,25785.0,25870,-85.0,51655.0
4077.07,Court St & Nelson St,19571.0,19702,-131.0,39273.0
4080.01,Schenectady Ave & Pacific St,5727.0,5551,176.0,11278.0
4083.13,Park Pl & Vanderbilt Ave,5821.0,5776,45.0,11597.0
4086.05,Columbia St & W 9 St,3961.0,4491,-530.0,8452.0
4086.06,Henry St & W 9 St,4153.0,4415,-262.0,8568.0
4087.01,Van Sinderen Ave & Atlantic Ave,3166.0,3217,-51.0,6383.0
4089.01,Bergen St & Kingston Ave,13845.0,13005,840.0,26850.0
4095.03,Van Brunt St & Wolcott St,17925.0,19598,-1673.0,37523.0
4095.1,Van Brunt St & Van Dyke St,427.0,20,407.0,447.0
4095.10,Van Brunt St & Van Dyke St,16767.0,17851,-1084.0,34618.0
4096.08,Dean St & Rockaway Ave,1674.0,1605,69.0,3279.0
4098.06,New York Ave & St Marks Ave,17682.0,17138,544.0,34820.0
4101.17,President St & 4 Ave,24939.0,25089,-150.0,50028.0
4105.01,Pacific St & Ralph Ave,3265.0,3099,166.0,6364.0
4107.05,Franklin Ave & St Marks Ave,31153.0,29999,1154.0,61152.0
4107.13,Dean St & Franklin Ave,34300.0,34500,-200.0,68800.0
4110.1,3 St & Hoyt St,453.0,20,433.0,473.0
4110.10,3 St & Hoyt St,15972.0,16745,-773.0,32717.0
4113.01,Pacific St & Rochester Ave,2552.0,2529,23.0,5081.0
4116.08,Prospect Pl & Underhill Ave,22250.0,22267,-17.0,44517.0
4116.09,Washington Ave & Park Pl,31078.0,29949,1129.0,61027.0
4119.04,Clinton St & 4 Place,22279.0,22331,-52.0,44610.0
4120.02,Fulton St & Williams Ave,2912.0,3046,-134.0,5958.0
4122.03,Pacific St & Troy Ave,7873.0,7881,-8.0,15754.0
4125.07,7 Ave & Park Pl,46631.0,46733,-102.0,93364.0
4125.13,Park Pl & Carlton Ave,8395.0,7959,436.0,16354.0
4128.08,Pioneer St & Richards St,4275.0,5030,-755.0,9305.0
4129.1,Herkimer St & Eastern Pkwy,28.0,631,-603.0,659.0
4129.10,Herkimer St & Eastern Pkwy,2048.0,1415,633.0,3463.0
4131.03,Brooklyn Ave & Dean St,14049.0,13992,57.0,28041.0
4134.06,Berkeley Pl & 6 Ave,27261.0,27382,-121.0,54643.0
4137.1,Coffey St & Conover St,239.0,98,141.0,337.0
4137.10,Coffey St & Conover St,10084.0,11242,-1158.0,21326.0
4137.14,Coffey St & Ferris St,9749.0,10245,-496.0,19994.0
4138.04,Thomas S. Boyland St & Fulton St,4339.0,3591,748.0,7930.0
4140.03,Pacific St & Nostrand Ave,23051.0,22711,340.0,45762.0
4143.04,3 Ave & Carroll St,19961.0,20411,-450.0,40372.0
4146.02,Columbus Pl & Atlantic Ave,4033.0,3640,393.0,7673.0
4148.07,Pacific St & Classon Ave,18829.0,18760,69.0,37589.0
4151.01,Smith St & 3 St,22852.0,22809,43.0,45661.0
4154.02,Pacific St & Utica Ave,4411.0,4239,172.0,8650.0
4157.1,Bergen St & Vanderbilt Ave,1318.0,144,1174.0,1462.0
4157.10,Bergen St & Vanderbilt Ave,62296.0,63796,-1500.0,126092.0
4157.15,Prospect Pl & Vanderbilt Ave,34607.0,34739,-132.0,69346.0
4161.01,Van Sinderen Ave & Truxton St,6452.0,6476,-24.0,12928.0
4166.08,Prospect Pl & 6 Ave,29276.0,29402,-126.0,58678.0
4169.04,Pioneer St & Van Brunt St,16809.0,18439,-1630.0,35248.0
4170.08,Somers St & Rockaway Ave,4541.0,4328,213.0,8869.0
4172.04,Herkimer St & New York Ave,9695.0,9174,521.0,18869.0
4175.14,Douglass St & 4 Ave,30311.0,30546,-235.0,60857.0
4175.15,Union St & 4 Ave,23793.0,24112,-319.0,47905.0
4179.03,Fulton St & Saratoga Ave,3540.0,3324,216.0,6864.0
4181.1,Brevoort Pl & Bedford Ave,406.0,2118,-1712.0,2524.0
4181.10,Brevoort Pl & Bedford Ave,16471.0,14578,1893.0,31049.0
